"Pacific/Midway","(GMT-11:00) Midway Island, Samoa","GMT-11:00","-11:00"
"America/Adak","(GMT-10:00) Hawaii-Aleutian","GMT-10:00","-10:00"
"Africa/Algiers","(GMT-10:00) Hawaii","GMT-10:00","-10:00"
"Pacific/Marquesas","(GMT-09:30) Marquesas Islands","GMT-09:30","-09:30"
"Pacific/Gambier","(GMT-09:00) Gambier Islands","GMT-09:00","-09:00"
"America/Anchorage","(GMT-09:00) Alaska","GMT-09:00","-09:00"
"America/Ensenada","(GMT-08:00) Tijuana, Baja California","GMT-08:00","-08:00"
"Etc/GMT+8","(GMT-08:00) Pitcairn Islands","GMT-08:00","-08:00"
"America/Los_Angeles","(GMT-08:00) Pacific Time (US & Canada)","GMT-08:00","-08:00"
"America/Denver","(GMT-07:00) Mountain Time (US & Canada)","GMT-07:00","-07:00"
"America/Chihuahua","(GMT-07:00) Chihuahua, La Paz, Mazatlan","GMT-07:00","-07:00"
"America/Dawson_Creek","(GMT-07:00) Arizona","GMT-07:00","-07:00"
"America/Belize","(GMT-06:00) Saskatchewan, Central America","GMT-06:00","-06:00"
"America/Cancun","(GMT-06:00) Guadalajara, Mexico City, Monterrey","GMT-06:00","-06:00"
"Chile/EasterIsland","(GMT-06:00) Easter Island","GMT-06:00","-06:00"
"America/Chicago","(GMT-06:00) Central Time (US & Canada)","GMT-06:00","-06:00"
"America/Mexico_City","(GMT-06:00) Mexico City","GMT-06:00","-06:00"
"America/New_York","(GMT-05:00) Eastern Time (US & Canada)","GMT-05:00","-05:00"
"America/Havana","(GMT-05:00) Cuba","GMT-05:00","-05:00"
"America/Bogota","(GMT-05:00) Bogota, Lima, Quito, Rio Branco","GMT-05:00","-05:00"
"America/Caracas","(GMT-04:00) Caracas","GMT-04:00","-04:00"
"America/Santiago","(GMT-04:00) Santiago","GMT-04:00","-04:00"
"America/La_Paz","(GMT-04:00) La Paz","GMT-04:00","-04:00"
"Atlantic/Stanley","(GMT-04:00) Falkland Islands","GMT-04:00","-04:00"
"America/Campo_Grande","(GMT-04:00) Brazil","GMT-04:00","-04:00"
"America/Goose_Bay","(GMT-04:00) Atlantic Time (Goose Bay)","GMT-04:00","-04:00"
"America/Glace_Bay","(GMT-04:00) Atlantic Time (Canada)","GMT-04:00","-04:00"
"America/St_Johns","(GMT-03:30) Newfoundland","GMT-03:30","-03:30"
"America/Araguaina","(GMT-03:00) UTC-3","GMT-03:30","-03:30"
"America/Montevideo","(GMT-03:00) Montevideo","GMT-03:00","-03:00"
"America/Miquelon","(GMT-03:00) Miquelon, St. Pierre","GMT-03:00","-03:00"
"America/Godthab","(GMT-03:00) Greenland","GMT-03:00","-03:00"
"America/Argentina/Buenos_Aires","(GMT-03:00) Buenos Aires","GMT-03:00","-03:00"
"America/Sao_Paulo","(GMT-03:00) Brasilia","GMT-03:00","-03:00"
"America/Noronha","(GMT-02:00) Mid-Atlantic","GMT-02:00","-02:00"
"Atlantic/Azores","(GMT-01:00) Cape Verde Is.","GMT-01:00","-01:00"
"Atlantic/Azores","(GMT-01:00) Azores","GMT-01:00","-01:00"
"Europe/Belfast","(GMT) Greenwich Mean Time : Belfast","GMT","00:00"
"Europe/Dublin","(GMT) Greenwich Mean Time : Dublin","GMT","00:00"
"Europe/Lisbon","(GMT) Greenwich Mean Time : Lisbon","GMT","00:00"
"Europe/London","(GMT) Greenwich Mean Time : London","GMT","00:00"
"Africa/Abidjan","(GMT) Monrovia, Reykjavik","GMT","00:00"
"Europe/Amsterdam","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","GMT+01:00","+01:00"
"Europe/Belgrade","(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague","GMT+01:00","+01:00"
"Europe/Brussels","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","GMT+01:00","+01:00"
"Africa/Algiers","(GMT+01:00) West Central Africa","GMT+01:00","+01:00"
"Africa/Windhoek","(GMT+01:00) Windhoek","GMT+01:00","+01:00"
"Asia/Beirut","(GMT+02:00) Beirut","GMT+02:00","+02:00"
"Africa/Cairo","(GMT+02:00) Cairo","GMT+02:00","+02:00"
"Asia/Gaza","(GMT+02:00) Gaza","GMT+02:00","+02:00"
"Africa/Blantyre","(GMT+02:00) Harare, Pretoria","GMT+02:00","+02:00"
"Asia/Jerusalem","(GMT+02:00) Jerusalem","GMT+02:00","+02:00"
"Europe/Minsk","(GMT+02:00) Minsk","GMT+02:00","+02:00"
"Asia/Damascus","(GMT+02:00) Syria","GMT+02:00","+02:00"
"Europe/Moscow","(GMT+03:00) Moscow, St. Petersburg, Volgograd","GMT+03:00","+03:00"
"Africa/Addis_Ababa","(GMT+03:00) Nairobi","GMT+03:00","+03:00"
"Asia/Qatar","(GMT+03:00) Qatar","GMT+03:00","+03:00"
"Asia/Tehran","(GMT+03:30) Tehran","GMT+03:30","+03:30"
"Asia/Dubai","(GMT+04:00) Abu Dhabi, Muscat","GMT+04:00","+04:00"
"Asia/Yerevan","(GMT+04:00) Yerevan","GMT+04:00","+04:00"
"Asia/Kabul","(GMT+04:30) Kabul","GMT+04:30","+04:30"
"Asia/Yekaterinburg","(GMT+05:00) Ekaterinburg","GMT+05:00","+05:00"
"Asia/Tashkent","(GMT+05:00) Tashkent","GMT+05:00","+05:00"
"Asia/Kolkata","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","GMT+05:30","+05:30"
"Asia/Katmandu","(GMT+05:45) Kathmandu","GMT+05:45","+05:45"
"Asia/Dhaka","(GMT+06:00) Astana, Dhaka","GMT+06:00","+06:00"
"Asia/Novosibirsk","(GMT+06:00) Novosibirsk","GMT+06:00","+06:00"
"Asia/Rangoon","(GMT+06:30) Yangon (Rangoon)","GMT+06:30","+06:30"
"Asia/Bangkok","(GMT+07:00) Bangkok, Hanoi, Jakarta","GMT+07:00","+07:00"
"Asia/Krasnoyarsk","(GMT+07:00) Krasnoyarsk","GMT+07:00","+07:00"
"Asia/Hong_Kong","(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi","GMT+08:00","+08:00"
"Asia/Irkutsk","(GMT+08:00) Irkutsk, Ulaan Bataar","GMT+08:00","+08:00"
"Australia/Perth","(GMT+08:00) Perth","GMT+08:00","+08:00"
"Australia/Eucla","(GMT+08:45) Eucla","GMT+08:45","+08:45"
"Asia/Tokyo","(GMT+09:00) Osaka, Sapporo, Tokyo","GMT+09:00","+09:00"
"Asia/Seoul","(GMT+09:00) Seoul","GMT+09:00","+09:00"
"Asia/Yakutsk","(GMT+09:00) Yakutsk","GMT+09:00","+09:00"
"Australia/Adelaide","(GMT+09:30) Adelaide","GMT+09:00","+09:00"
"Australia/Darwin","(GMT+09:30) Darwin","GMT+09:30","+09:30"
"Australia/Brisbane","(GMT+10:00) Brisbane","GMT+10:00","+10:00"
"Australia/Hobart","(GMT+10:00) Hobart","GMT+10:00","+10:00"
"Asia/Vladivostok","(GMT+10:00) Vladivostok","GMT+10:00","+10:00"
"Australia/Lord_Howe","(GMT+10:30) Lord Howe Island","GMT+10:30","+10:30"
"Etc/GMT-11","(GMT+11:00) Solomon Is., New Caledonia","GMT+11:00","+11:00"
"Asia/Magadan","(GMT+11:00) Magadan","GMT+11:00","+11:00"
"Pacific/Norfolk","(GMT+11:30) Norfolk Island","GMT+11:30","+11:30"
"Asia/Anadyr","(GMT+12:00) Anadyr, Kamchatka","GMT+12:00","+12:00"
"Pacific/Auckland","(GMT+12:00) Auckland, Wellington","GMT+12:00","+12:00"
"Etc/GMT-12","(GMT+12:00) Fiji, Kamchatka, Marshall Is.","GMT+12:00","+12:00"
"Pacific/Chatham","(GMT+12:45) Chatham Islands","GMT+12:45","+12:45"
"Pacific/Tongatapu","(GMT+13:00) Nuku'alofa","GMT+13:00","+13:00"
"Pacific/Kiritimati","(GMT+14:00) Kiritimati","GMT+14:00","+14:00"